flightNo,airline,departureTime,arrivalTime,firstCount,busCount,econCount,windowCount,aisleCount,totalSeats, SourceAirport, DestAirport
309,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'AKC', 'ATE'
326,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'ALX', 'ALI'
327,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ALI', 'ALX'
370,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'AKC', 'WKK'
371,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'WKK', 'AKC'
414,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AAF', 'ALB'
415,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ALB', 'AAF'
424,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ADG', 'AOS'
425,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'AOS', 'ADG'
470,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ABQ', 'MMI'
471,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'MMI', 'ABQ'
520,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'AIV', 'ALS'
521,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ALS', 'AIV'
556,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'AYZ', 'AHD'
557,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'AHD', 'AYZ'
560,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'AHF', 'ATO'
561,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ATO', 'AHF'
604,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ADG', 'ANN'
605,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ANN', 'ADG'
608,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AST', 'DYS'
609,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'DYS', 'AST'
626,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'AKI', 'AEL'
627,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'AEL', 'AKI'
658,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ARC', 'ALM'
659,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ALM', 'ARC'
708,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'AXB', 'AFO'
709,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AFO', 'AXB'
744,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'AED', 'OTS'
745,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'OTS', 'AED'
754,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'CVO', 'ANY'
755,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ANY', 'CVO'
786,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ACV', 'AHD'
787,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'AHD', 'ACV'
810,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ARC', 'AQY'
811,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'AQY', 'ARC'
828,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'HMN', 'EDF'
829,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'EDF', 'HMN'
878,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'KKI', 'ALM'
879,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ALM', 'KKI'
888,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ALZ', 'ANW'
889,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ANW', 'ALZ'
900,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'AHT', 'AXX'
901,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'AXX', 'AHT'
924,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'AXG', 'ASX'
925,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ASX', 'AXG'
946,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'APV', 'ADR'
947,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ADR', 'APV'
996,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AXG', 'AXS'
997,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'AXS', 'AXG'
1000,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ADK', 'KKI'
1001,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'KKI', 'ADK'
1026,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'AHN', 'DYS'
1027,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'DYS', 'AHN'
1062,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'AQY', 'AFO'
1063,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AFO', 'AQY'
1068,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'APN', 'ALB'
1069,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ALB', 'APN'
1100,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'ATE', 'ALE'
1101,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ALE', 'ATE'
1144,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'AIA', 'AMW'
1145,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'AMW', 'AIA'
1166,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ABQ', 'AAF'
1167,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'AAF', 'ABQ'
1168,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ADK', 'NAB'
1169,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'NAB', 'ADK'
1192,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'QAW', 'AHH'
1193,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'AHH', 'QAW'
1208,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'NAB', 'MMI'
1209,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'MMI', 'NAB'
1216,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ATE', 'ALX'
1217,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ALX', 'ATE'
1250,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'ARC', 'AED'
1251,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'AED', 'ARC'
1274,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ALS', 'APG'
1275,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'APG', 'ALS'
1284,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ADK', 'ADG'
1285,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ADG', 'ADK'
1328,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'RLI', 'LTS'
1329,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'LTS', 'RLI'
14,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'APV', 'ALX'
15,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ALX', 'APV'
18,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'MRI', 'OTS'
19,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'OTS', 'MRI'
64,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'VJI', 'AOS'
65,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'AOS', 'VJI'
88,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'AGN', 'AXX'
89,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'AXX', 'AGN'
124,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'OTS', 'ALZ'
125,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ALZ', 'OTS'
142,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ABQ', 'ADM'
143,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ADM', 'ABQ'
192,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'AKK', 'NDV'
193,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'NDV', 'AKK'
240,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ATE', 'ATW'
241,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ATW', 'ATE'
278,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ACV', 'ALX'
279,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ALX', 'ACV'
322,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ALN', 'ARB'
323,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ARB', 'ALN'
330,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'AYZ', 'AND'
331,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'AND', 'AYZ'
356,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'AKC', 'MRI'
357,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'MRI', 'AKC'
358,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ASE', 'ASX'
359,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ASX', 'ASE'
384,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'AOS', 'AGN'
385,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'AGN', 'AOS'
426,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'AFO', 'AMN'
427,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'AMN', 'AFO'
466,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ARB', 'AGN'
467,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AGN', 'ARB'
484,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ARX', 'AQY'
485,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'AQY', 'ARX'
488,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'VJI', 'APG'
489,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'APG', 'VJI'
526,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'CAK', 'ANP'
527,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ANP', 'CAK'
550,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AIV', 'ADK'
551,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ADK', 'AIV'
600,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'MRI', 'ARB'
601,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'ARB', 'MRI'
644,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'AHD', 'AMA'
645,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'AMA', 'AHD'
670,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'KKI', 'ATS'
671,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ATS', 'KKI'
672,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ANV', 'ABL'
673,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ABL', 'ANV'
692,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'CAK', 'ATS'
693,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ATS', 'CAK'
728,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'AKI', 'ESF'
729,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ESF', 'AKI'
746,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ANC', 'AST'
747,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'AST', 'ANC'
790,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'APN', 'CVO'
791,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'CVO', 'APN'
830,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ANQ', 'AMA'
831,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'AMA', 'ANQ'
840,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'NGZ', 'ADT'
841,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ADT', 'NGZ'
886,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ANW', 'ABY'
887,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ABY', 'ANW'
902,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'AKO', 'OTS'
903,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'OTS', 'AKO'
920,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'AET', 'ASX'
921,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ASX', 'AET'
950,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ALB', 'ADM'
951,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ADM', 'ALB'
988,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ALS', 'ADG'
989,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'ADG', 'ALS'
1020,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ANP', 'ADG'
1021,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ADG', 'ANP'
1064,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'NAB', 'ALB'
1065,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ALB', 'NAB'
1068,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'AIK', 'ANN'
1069,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ANN', 'AIK'
1076,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'AXG', 'ABQ'
1077,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ABQ', 'AXG'
1120,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ACV', 'AKK'
1121,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'AKK', 'ACV'
1158,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ABI', 'QAW'
1159,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'QAW', 'ABI'
1188,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'AIV', 'ALE'
1189,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'ALE', 'AIV'
1230,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ANY', 'ANI'
1231,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ANI', 'ANY'
1242,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'AED', 'AMA'
1243,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AMA', 'AED'
1266,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'AHT', 'ALE'
1267,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ALE', 'AHT'
1286,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'HMN', 'ESF'
1287,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ESF', 'HMN'
1330,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'AXX', 'ANP'
1331,2,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ANP', 'AXX'
1360,2,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AHH', 'AST'
1361,2,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'AST', 'AHH'
1374,2,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ALI', 'AMW'
1375,2,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'AMW', 'ALI'
1376,2,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ALI', 'APG'
1377,2,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'APG', 'ALI'
2,3,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ATS', 'OTS'
3,3,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'OTS', 'ATS'
26,3,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'VJI', 'ATW'
27,3,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ATW', 'VJI'
36,3,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'CAK', 'OTS'
37,3,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'OTS', 'CAK'
84,3,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ABY', 'ALS'
85,3,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ALS', 'ABY'
100,3,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AXN', 'APG'
101,3,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'APG', 'AXN'
118,3,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'AXB', 'ANA'
119,3,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'ANA', 'AXB'
126,3,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'LTS', 'EDF'
127,3,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'EDF', 'LTS'
130,3,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'JLH', 'AND'
131,3,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AND', 'JLH'
162,3,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'AIK', 'ADT'
163,3,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ADT', 'AIK'
194,3,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'AST', 'ARX'
195,3,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ARX', 'AST'
206,3,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ANB', 'ALE'
207,3,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ALE', 'ANB'
240,3,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AKC', 'MMI'
241,3,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'MMI', 'AKC'
244,3,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'EDF', 'AHT'
245,3,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'AHT', 'EDF'
268,3,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'AMW', 'AHN'
269,3,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'AHN', 'AMW'
284,3,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'AXB', 'AXN'
285,3,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AXN', 'AXB'
300,3,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ASY', 'ALE'
301,3,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ALE', 'ASY'
334,3,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'ALI', 'ATW'
335,3,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'ATW', 'ALI'
364,3,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'AYZ', 'AUK'
365,3,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'AUK', 'AYZ'
396,3,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AED', 'ASX'
397,3,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ASX', 'AED'
432,3,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ABQ', 'ANN'
433,3,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'ANN', 'ABQ'
438,3,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'AFO', 'AUK'
439,3,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'AUK', 'AFO'
460,3,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'RLI', 'AHD'
461,3,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AHD', 'RLI'
498,3,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ATW', 'TDW'
499,3,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'TDW', 'ATW'
528,3,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'ARB', 'AKK'
529,3,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'AKK', 'ARB'
548,3,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ARX', 'ASX'
549,3,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ASX', 'ARX'
588,3,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AKO', 'WKK'
